eid,date,fruits,drinks,toiletries,people_string
e27116,2018/07/14,"apples, blueberries",sports drinks,"shaving cream, facial wash, shampoo",
e27118,2018/07/20,"cherres, guava, bananas",chocolate milk,"facial wash, mouth wash, paper towel, shaving cream",
e27121,2018/07/23,"apricots, pears","mango juice, tea, sports drinks, apple juice",toothbrush,
e27122,2018/07/26,pears,"chocolate milk, orange juice, guava juice","mouth wash, toilet paper",
e27127,2018/07/30,"watermelons, apricots, blueberries, pineapples","guava juice, soda","toothpaste, paper towel, conditioner","Jackson, Avery, Willow, Benjamin"
e27128,2018/08/05,"clementines, strawberries, apricots, blackberries",tea,toothbrush,
e27132,2018/08/08,blueberries,"tea, coffee, guava juice","paper towel, mouthwash, toothpaste, toothbrush",
e27133,2018/08/10,"bananas, peaches","coffee, orange juice","mouth wash, mouthwash, shampoo, conditioner",
e27137,2018/08/15,"pineapples, raspberries, peaches","tea, mineral water, mango juice, sports drinks",toothpaste,
e27140,2018/08/22,pineapples,guava juice,"toothbrush, shaving cream, mouth wash",
e27144,2018/09/01,oranges,"milk, orange juice, mango juice, mineral water","mouthwash, toilet paper, mouth wash",Benjamin
e27149,2018/09/03,bananas,"guava juice, orange juice, mango juice, pineapple juice","paper towel, toothpaste","Nora, Kinsley, Layla, Hazel, Piper, Eva, Claire, Lydia, Nevaeh, Avery"
e27150,2018/09/06,"oranges, peaches",sports drinks,body lotion,Willow
e27153,2018/09/14,watermelons,"coffee, chocolate milk, milk, pineapple juice","shaving cream, mouth wash","Andrew, Emily"
e27156,2018/09/19,"pineapples, mandarins","coffee, mineral water","toothpaste, shampoo, mouthwash, toilet paper",Avery
e27157,2018/09/23,"peaches, apricots, raspberries, cherres","apple juice, sports drinks, orange juice",toothpaste,
e27160,2018/09/26,"strawberries, mandarins",mango juice,facial wash,"Emily, Andrew"
e27161,2018/09/27,"mandarins, pears, cherres, bananas","guava juice, tea",toothbrush,"Carter, Andrew, Kayden, Emily"
e27165,2018/10/02,"apples, mandarins, raspberries","pineapple juice, milk",toothbrush,
e27169,2018/10/09,"strawberries, clementines, watermelons",mineral water,"paper towel, toothbrush","Kayden, Carter"
e27170,2018/10/14,"blueberries, pineapples","mineral water, mango juice, soda","toothbrush, paper towel, conditioner","Kayden, Andrew, Emily"
e27173,2018/10/17,"mandarins, bananas, strawberries","mango juice, mineral water, guava juice",toothbrush,"Nevaeh, Piper, Piper, Layla, Kinsley, Avery, Olivia, Nora, Lydia"
e27174,2018/10/18,cherres,guava juice,"toothbrush, shaving cream, toilet paper",
e27179,2018/10/28,"raspberries, blueberries","coffee, tea, apple juice","toothpaste, mouth wash, toothbrush, body lotion",
e27182,2018/10/31,"mandarins, bananas, mangos, clementines","mango juice, soda, orange juice",body lotion,
e27183,2018/11/01,"nectarines, mangos","pineapple juice, milk, orange juice","conditioner, body lotion, facial wash","Willow, Benjamin, Avery"
e27187,2018/11/06,"clementines, guava",chocolate milk,"toothpaste, conditioner","Kinsley, Nora"
e27188,2018/11/09,"peaches, bananas, strawberries","tea, mineral water","toilet paper, paper towel, mouth wash, mouthwash","Lydia, Hazel, Nevaeh, Eva"
e27190,2018/11/16,"pineapples, strawberries","soda, coffee","shaving cream, toothbrush, paper towel, mouth wash",
e27191,2018/11/23,"strawberries, raspberries","guava juice, sports drinks, apple juice, mango juice",facial wash,"Andrew, Emily"
e27194,2018/12/01,raspberries,"coffee, soda, milk, orange juice","shaving cream, mouthwash, toothbrush, body lotion",
e27197,2018/12/05,clementines,"soda, coffee",shaving cream,Piper
e27198,2018/12/08,"watermelons, mandarins, blackberries","mineral water, pineapple juice, tea, chocolate milk",mouthwash,Emily
e27201,2018/12/10,"raspberries, clementines, bananas, watermelons","mango juice, soda, coffee, apple juice","shaving cream, conditioner, paper towel, toilet paper",
e27202,2018/12/14,"blackberries, strawberries, peaches, blueberries","apple juice, chocolate milk, orange juice","shampoo, facial wash",
e27205,2018/12/19,"mandarins, bananas, pears","mango juice, soda, chocolate milk","shampoo, shaving cream",
e27206,2018/12/22,"peaches, strawberries","soda, pineapple juice, apple juice",conditioner,"Rylee, Nora, Layla, Claire, Kinsley, Piper, Nevaeh, Avery, Piper, Eva, Hazel"
e30436,2019/01/01,"apples, blackberries, peaches, blueberries","guava juice, orange juice, soda","facial wash, toothpaste",
e30437,2019/01/07,"nectarines, peaches, guava","mango juice, mineral water, coffee","shampoo, conditioner, mouth wash","Andrew, Kayden"
e30440,2019/01/10,watermelons,"tea, coffee","toothbrush, toilet paper, facial wash, paper towel",
e30441,2019/01/12,apples,milk,"paper towel, toothbrush",
e30443,2019/01/17,"blackberries, peaches, bananas","pineapple juice, orange juice, coffee, apple juice",toothbrush,"Nevaeh, Lydia, Nora, Hazel, Olivia, Claire, Piper, Layla, Eva, Kinsley, Avery, Rylee, Piper"
e30444,2019/01/18,oranges,"guava juice, pineapple juice, tea","mouthwash, toilet paper, facial wash",
e30446,2019/01/26,pears,"guava juice, pineapple juice",conditioner,
e30451,2019/01/30,"oranges, bananas","soda, milk","shampoo, body lotion, toilet paper",
e30452,2019/02/04,"pineapples, mandarins, strawberries, peaches",guava juice,shaving cream,"Avery, Jackson, Willow"
e30455,2019/02/05,"blackberries, guava, watermelons",sports drinks,"toothbrush, toilet paper, mouthwash, shampoo","Carter, Kayden, Andrew"
e30456,2019/02/11,"apricots, strawberries","apple juice, pineapple juice, orange juice",body lotion,"Andrew, Emily, Carter, Kayden"
e30459,2019/02/16,"guava, watermelons, mangos","chocolate milk, milk","conditioner, toilet paper, body lotion","Kayden, Carter"
e30461,2019/02/23,"apricots, strawberries, blueberries, peaches","apple juice, guava juice, chocolate milk, mango juice",toilet paper,
e30463,2019/02/28,"bananas, blueberries, pineapples","sports drinks, guava juice","toilet paper, toothpaste, shampoo, toothbrush","Piper, Hazel, Lydia, Nevaeh, Layla"
e30466,2019/03/07,blackberries,"tea, orange juice, sports drinks","body lotion, toilet paper, mouthwash, mouth wash",
e30467,2019/03/10,"apples, pineapples","mango juice, sports drinks, guava juice, mineral water",toilet paper,"Emily, Kayden, Carter, Andrew"
e30468,2019/03/12,blueberries,sports drinks,mouth wash,
e30469,2019/03/16,"cherres, pears",soda,"mouth wash, toilet paper","Andrew, Emily, Kayden"
e30471,2019/03/20,blackberries,"milk, apple juice, orange juice, coffee","conditioner, shaving cream, toothpaste, toilet paper",
e30472,2019/03/23,"clementines, strawberries, mangos","apple juice, tea","paper towel, conditioner, toilet paper",
e30476,2019/03/28,"apples, blackberries, mandarins, cherres","milk, guava juice, chocolate milk","shampoo, shaving cream, mouthwash","Andrew, Emily, Kayden, Carter"
e30477,2019/03/29,oranges,"tea, orange juice, milk",toothbrush,"Avery, Benjamin, Jackson"
e30479,2019/04/06,"oranges, apples","guava juice, mango juice","toilet paper, paper towel","Emily, Carter, Andrew, Kayden"
e30483,2019/04/11,"peaches, raspberries","mango juice, milk, orange juice, sports drinks",toothbrush,
e30484,2019/04/15,"clementines, guava",guava juice,"mouthwash, body lotion, mouth wash, toothpaste",
e30489,2019/04/16,oranges,guava juice,shaving cream,
e30490,2019/04/20,cherres,"chocolate milk, milk","toilet paper, conditioner",
e30493,2019/04/24,"peaches, mangos, blueberries, pears","apple juice, soda, orange juice, milk",mouth wash,
e30494,2019/04/29,blueberries,"guava juice, apple juice",toilet paper,
e30495,2019/05/02,"watermelons, clementines, peaches","pineapple juice, milk","toilet paper, conditioner, shaving cream","Andrew, Carter, Emily"
e30496,2019/05/04,mangos,"milk, mango juice","facial wash, paper towel",
e30499,2019/05/10,blueberries,"chocolate milk, mango juice, apple juice","facial wash, conditioner, mouthwash, mouth wash","Emily, Carter"
e30504,2019/05/15,apples,"sports drinks, apple juice, pineapple juice, guava juice","body lotion, paper towel, mouthwash, toothbrush",
e30505,2019/05/17,"mangos, cherres, pineapples, apricots",orange juice,"shaving cream, mouthwash, mouth wash, toothpaste",
e30506,2019/05/23,pineapples,"orange juice, pineapple juice, mango juice, guava juice","conditioner, paper towel, toothbrush","Carter, Kayden"
e30507,2019/05/25,"nectarines, mangos, pears, watermelons","tea, mineral water, guava juice","facial wash, mouthwash, shampoo",
e30511,2019/05/29,"pears, blueberries","apple juice, coffee, pineapple juice","facial wash, mouth wash, toothbrush, body lotion",
e30512,2019/06/03,"peaches, strawberries, oranges, watermelons","chocolate milk, mineral water, soda, mango juice","shaving cream, body lotion",
e30515,2019/06/04,"pears, oranges, blackberries, raspberries","tea, chocolate milk, orange juice, sports drinks","facial wash, toothpaste","Rylee, Lydia, Nora, Avery, Layla, Piper, Nevaeh"
e30516,2019/06/07,"strawberries, mangos","guava juice, coffee",facial wash,
e30518,2019/06/13,"pears, apples, watermelons, blackberries","milk, guava juice, tea","conditioner, toilet paper, toothpaste","Emily, Kayden, Carter, Andrew"
e30521,2019/06/22,"mangos, apples","apple juice, soda, tea","conditioner, body lotion, shaving cream, shampoo",
e30525,2019/07/01,"peaches, blackberries, clementines, pears",coffee,toothbrush,
e30529,2019/07/02,guava,"mineral water, chocolate milk, soda","mouth wash, conditioner, mouthwash",
e30530,2019/07/05,"blackberries, apples, guava, strawberries",soda,toothpaste,
e30532,2019/07/13,"peaches, cherres, strawberries",sports drinks,"mouth wash, toothbrush, conditioner",
e30535,2019/07/19,watermelons,"pineapple juice, tea",toothbrush,"Andrew, Carter, Emily, Kayden"
e30536,2019/07/23,guava,chocolate milk,"mouth wash, shaving cream","Willow, Avery"
e30537,2019/07/27,"clementines, pineapples, apples, apricots",orange juice,"shaving cream, body lotion, conditioner, toilet paper","Willow, Avery, Benjamin"
e30540,2019/08/02,raspberries,"pineapple juice, milk","paper towel, mouth wash, toothpaste, shampoo",
e30544,2019/08/06,"blueberries, watermelons",milk,"conditioner, shampoo, body lotion, mouth wash","Nevaeh, Piper, Eva, Layla, Kinsley, Claire, Lydia, Rylee"
e30545,2019/08/11,"apples, watermelons, pears, blueberries","tea, apple juice, guava juice","shampoo, conditioner, toilet paper, facial wash","Andrew, Kayden, Emily"
e30548,2019/08/16,mangos,"sports drinks, mango juice, chocolate milk","body lotion, shaving cream, toothbrush",
e30551,2019/08/20,mangos,soda,"toothpaste, body lotion, facial wash",
e30552,2019/08/24,"oranges, nectarines, strawberries, peaches","mineral water, apple juice","body lotion, shaving cream","Layla, Nora, Nevaeh, Olivia, Claire, Avery"
e30557,2019/09/01,"raspberries, mangos",mango juice,"conditioner, body lotion",
e30561,2019/09/05,"apples, guava, blackberries, mandarins","chocolate milk, apple juice","toilet paper, body lotion, toothbrush",
e30562,2019/09/07,"blueberries, mangos","guava juice, mineral water, milk","conditioner, shaving cream, toilet paper","Kayden, Emily, Carter"
e30564,2019/09/16,blackberries,mineral water,"toothpaste, mouth wash, toilet paper, mouthwash",
e30567,2019/09/20,clementines,"chocolate milk, mango juice, orange juice, soda","shampoo, body lotion","Avery, Lydia, Eva, Piper, Hazel, Rylee, Nora, Layla, Kinsley, Olivia"
e30569,2019/09/25,"nectarines, watermelons, apricots",sports drinks,"toilet paper, shaving cream, toothpaste, conditioner",
e30570,2019/09/27,"oranges, pears, blueberries","guava juice, soda, mineral water, mango juice","paper towel, toothpaste, mouth wash, mouthwash","Andrew, Carter, Kayden"
e30574,2019/10/07,"apricots, guava, pears","pineapple juice, guava juice, milk","body lotion, mouthwash",
e30576,2019/10/08,"pears, bananas","milk, sports drinks, mineral water","toilet paper, shampoo, toothpaste","Hazel, Olivia, Eva, Layla, Rylee, Kinsley"
e30577,2019/10/11,"bananas, blueberries","orange juice, tea, apple juice",facial wash,"Jackson, Willow"
e30582,2019/10/15,"pineapples, blackberries, clementines, cherres","apple juice, sports drinks",mouth wash,
e30583,2019/10/20,"strawberries, blueberries, peaches, raspberries","guava juice, orange juice, milk","conditioner, toilet paper",
e30586,2019/10/23,"bananas, apples",apple juice,"mouthwash, body lotion",
e30587,2019/10/25,"peaches, cherres, pineapples","pineapple juice, apple juice","shaving cream, facial wash, shampoo, mouth wash",
e30588,2019/10/31,"guava, pears, clementines","mango juice, soda, guava juice, pineapple juice","facial wash, paper towel",
e30589,2019/11/04,"watermelons, apricots","chocolate milk, guava juice, pineapple juice","paper towel, facial wash, toilet paper, mouth wash","Andrew, Carter"
e30593,2019/11/10,"strawberries, nectarines, guava, cherres","milk, mineral water, guava juice, coffee","toothbrush, facial wash, shampoo, mouth wash",
e30597,2019/11/14,"pears, apples","soda, apple juice","paper towel, toothbrush, mouth wash, facial wash","Olivia, Piper"
e30598,2019/11/17,"mandarins, mangos, nectarines, apricots","coffee, mineral water, soda, guava juice","toothpaste, mouthwash, conditioner, mouth wash",
e30603,2019/11/23,"bananas, blueberries","chocolate milk, sports drinks, mineral water, soda",paper towel,"Willow, Jackson, Benjamin, Avery"
e30604,2019/11/30,strawberries,"guava juice, mango juice","mouthwash, facial wash, body lotion, mouth wash",
e30607,2019/12/04,"peaches, guava, strawberries, blueberries","guava juice, apple juice, milk",toothbrush,Andrew
e30608,2019/12/09,apricots,sports drinks,"mouth wash, shampoo, toothpaste, paper towel",
e30613,2019/12/12,apricots,"mango juice, pineapple juice",toilet paper,
e30614,2019/12/13,"guava, mangos, apples, cherres","pineapple juice, tea","shaving cream, toothbrush, toilet paper","Jackson, Willow"
e30617,2019/12/17,"mandarins, strawberries",guava juice,"toothpaste, toothbrush","Jackson, Willow"
e30618,2019/12/20,clementines,"coffee, orange juice, chocolate milk",toilet paper,"Olivia, Nora, Lydia, Hazel, Avery, Rylee, Nevaeh, Piper, Piper, Layla, Eva, Kinsley"
e30622,2019/12/25,"pears, cherres, strawberries",pineapple juice,"shampoo, mouth wash, body lotion",
e30623,2019/12/28,"watermelons, blueberries","soda, sports drinks",toothpaste,
e33805,2020/01/01,"cherres, peaches, pineapples","mineral water, soda, apple juice","toilet paper, toothbrush, toothpaste",
e33806,2020/01/06,raspberries,sports drinks,shampoo,
e33807,2020/01/08,"mandarins, oranges, cherres, bananas","chocolate milk, milk, apple juice","body lotion, facial wash, toothpaste, mouth wash",
e33808,2020/01/14,pineapples,"guava juice, mango juice, milk, apple juice","toothpaste, paper towel, body lotion, toilet paper",
e33809,2020/01/17,"raspberries, apricots","mango juice, chocolate milk, apple juice, soda","shampoo, toothbrush","Avery, Rylee, Lydia"
e33810,2020/01/21,mangos,milk,"mouthwash, shampoo","Carter, Andrew"
e33815,2020/01/24,"peaches, nectarines, raspberries","sports drinks, tea, soda","toothpaste, mouth wash, shaving cream, shampoo","Carter, Emily"
e33816,2020/01/27,"peaches, oranges","milk, coffee","facial wash, shampoo, body lotion, mouthwash",
e33821,2020/02/03,"apples, watermelons, blueberries, oranges","soda, pineapple juice, coffee, mineral water","conditioner, facial wash",
e33826,2020/02/06,"oranges, peaches, mangos, apricots","mineral water, milk","toothbrush, facial wash, mouth wash, toothpaste",
e33827,2020/02/11,"apples, cherres, blackberries, blueberries","orange juice, mineral water, soda","body lotion, toothpaste","Piper, Olivia, Eva, Hazel, Layla"
e33831,2020/02/12,watermelons,"coffee, soda",toothpaste,"Jackson, Avery"
e33832,2020/02/15,"guava, nectarines, mandarins","mineral water, apple juice, orange juice","body lotion, mouth wash, toothbrush, conditioner",Emily
e33834,2020/02/21,peaches,coffee,"body lotion, toothbrush, conditioner, shampoo",
e33835,2020/02/22,"raspberries, clementines","chocolate milk, mineral water","body lotion, facial wash, mouth wash","Nevaeh, Avery, Claire, Nora, Layla, Eva, Lydia, Hazel, Piper, Olivia, Piper, Rylee"
e33839,2020/02/28,mandarins,"orange juice, tea, pineapple juice",mouth wash,"Avery, Benjamin"
e33840,2020/02/29,"blackberries, cherres","pineapple juice, coffee, orange juice, tea","body lotion, shampoo, toilet paper","Kayden, Emily"
e33843,2020/03/04,"apricots, mangos","mineral water, apple juice, mango juice","shampoo, toilet paper",
e33844,2020/03/10,blueberries,"pineapple juice, chocolate milk","facial wash, toilet paper, mouthwash, mouth wash",
e33848,2020/03/16,"nectarines, guava, blueberries","tea, milk, soda","shampoo, shaving cream",
e33850,2020/03/18,"apricots, mangos, blackberries, pears","coffee, sports drinks",facial wash,"Kayden, Andrew, Emily, Carter"
e33851,2020/03/23,"pineapples, mangos, mandarins, nectarines","orange juice, apple juice","toothpaste, facial wash",Carter
e33858,2020/04/03,"cherres, pears","pineapple juice, apple juice, chocolate milk","shaving cream, conditioner",
e33859,2020/04/07,peaches,mineral water,"mouthwash, toothbrush, shampoo, toilet paper",
e33864,2020/04/21,"cherres, blackberries, apples","apple juice, soda, pineapple juice, coffee","mouthwash, paper towel, body lotion, shaving cream","Andrew, Carter, Kayden"
e33869,2020/04/23,"blackberries, strawberries, guava, raspberries","soda, apple juice, pineapple juice, mineral water",conditioner,"Willow, Benjamin, Jackson"
e33870,2020/04/25,pears,"coffee, milk, guava juice",facial wash,Jackson
e33872,2020/04/29,"pears, blueberries, mangos","mineral water, apple juice","paper towel, facial wash",Jackson
e33873,2020/05/05,watermelons,"coffee, mango juice",shaving cream,
e33875,2020/05/08,"bananas, guava, apples, mangos","orange juice, sports drinks, pineapple juice, coffee","shaving cream, toilet paper, body lotion","Olivia, Nora, Rylee, Nevaeh"
e33876,2020/05/11,"apples, peaches, pears",mineral water,"toilet paper, mouth wash, shampoo, toothpaste",
e33879,2020/05/17,peaches,"soda, chocolate milk, orange juice",mouthwash,
e33881,2020/05/21,"blueberries, mangos, apricots, blackberries","orange juice, coffee","toilet paper, facial wash","Benjamin, Jackson, Willow, Avery"
e33882,2020/05/23,"watermelons, pineapples, cherres",apple juice,"body lotion, toothbrush, paper towel, mouth wash",Carter
e33886,2020/05/27,"apricots, blueberries, mandarins, peaches","chocolate milk, soda","body lotion, paper towel, toothbrush, mouth wash","Eva, Claire, Layla, Nora, Piper, Hazel, Olivia, Kinsley, Nevaeh, Lydia"
e33887,2020/05/31,"raspberries, watermelons","mineral water, milk, orange juice","body lotion, toothbrush, mouth wash, toothpaste","Claire, Piper, Hazel, Avery, Piper, Nora, Kinsley"
e33890,2020/06/06,"clementines, watermelons, mangos, pears",chocolate milk,toilet paper,
e33893,2020/06/14,"mandarins, oranges, apricots, apples","mango juice, coffee, soda, sports drinks","body lotion, facial wash, shaving cream, mouth wash","Carter, Kayden"
e33897,2020/06/20,"mangos, clementines, bananas, raspberries","mineral water, guava juice, pineapple juice","mouth wash, toothbrush","Jackson, Benjamin"
e33903,2020/06/27,"nectarines, raspberries, guava, watermelons","mango juice, guava juice","body lotion, shaving cream, toothpaste, paper towel","Emily, Carter, Andrew"
e33906,2020/07/03,"pears, nectarines, blueberries, strawberries","orange juice, coffee, sports drinks","paper towel, toothpaste",
e33907,2020/07/06,"bananas, guava, peaches",mineral water,"mouth wash, body lotion, mouthwash","Emily, Andrew, Kayden, Carter"
e33910,2020/07/11,"bananas, watermelons, apples, pineapples","mango juice, coffee, apple juice, soda","facial wash, toothpaste",Willow
e33913,2020/07/17,"pears, pineapples","orange juice, chocolate milk","toothpaste, conditioner",
e33914,2020/07/20,"mandarins, apricots, pears",pineapple juice,facial wash,
e33917,2020/07/22,"blackberries, watermelons, strawberries, clementines","milk, chocolate milk, tea","toothpaste, shampoo, mouthwash",
e33918,2020/07/25,"nectarines, bananas, strawberries, blueberries",soda,"conditioner, toilet paper, mouth wash","Avery, Nevaeh, Hazel, Kinsley"
e33919,2020/07/31,"mandarins, cherres","soda, chocolate milk","shaving cream, body lotion, toilet paper, mouth wash",Carter
e33920,2020/08/03,"nectarines, apricots","chocolate milk, pineapple juice","toothpaste, shampoo, mouth wash, mouthwash",
e33923,2020/08/08,apples,chocolate milk,toothbrush,Kayden
e33927,2020/08/13,"cherres, nectarines","apple juice, chocolate milk, sports drinks","shampoo, toilet paper, facial wash, shaving cream",
e33928,2020/08/17,"bananas, watermelons","apple juice, mango juice, orange juice, mineral water",shampoo,
e33932,2020/08/20,mangos,"pineapple juice, tea","paper towel, mouthwash, facial wash",
e33933,2020/08/22,"blackberries, cherres, strawberries, bananas","apple juice, coffee","toothbrush, mouthwash",
e33936,2020/08/27,"peaches, nectarines, blackberries, pears",chocolate milk,"toilet paper, conditioner, body lotion",
e33937,2020/09/01,mandarins,"mineral water, sports drinks, orange juice, coffee","toothpaste, shampoo, shaving cream, paper towel","Hazel, Kinsley, Nora, Piper, Olivia, Eva"
e33941,2020/09/03,"pineapples, bananas, peaches, pears",mango juice,"facial wash, body lotion, paper towel, toilet paper","Benjamin, Jackson, Avery, Willow"
e33942,2020/09/05,"nectarines, cherres, peaches","mineral water, coffee, milk, guava juice","shaving cream, paper towel, toothpaste, mouth wash","Andrew, Carter, Emily"
e33946,2020/09/09,cherres,mineral water,mouth wash,Piper
e33947,2020/09/13,blackberries,"milk, mineral water","shaving cream, mouth wash, shampoo",
e33950,2020/09/16,"bananas, nectarines",mango juice,"mouthwash, toothbrush, shampoo, conditioner","Carter, Emily"
e33951,2020/09/19,"nectarines, guava, bananas, mangos",guava juice,shampoo,"Rylee, Lydia, Avery, Hazel, Nora, Eva, Claire, Piper"
e33956,2020/09/25,"cherres, oranges, blackberries, blueberries","guava juice, coffee, orange juice, chocolate milk",toothbrush,"Carter, Emily"
e33957,2020/09/28,"watermelons, oranges, apples, nectarines","mango juice, sports drinks, coffee, apple juice","mouthwash, toothpaste, mouth wash",
e33960,2020/10/04,apples,soda,"shampoo, facial wash, mouth wash","Claire, Olivia, Piper, Nevaeh, Kinsley, Eva, Piper, Avery, Rylee, Lydia"
e33963,2020/10/11,"mandarins, apples, raspberries, pears",pineapple juice,toothbrush,
e33967,2020/10/16,pineapples,"tea, coffee","shampoo, facial wash, mouthwash",
e33970,2020/10/27,pears,"guava juice, apple juice","conditioner, toothbrush, shampoo",
e33972,2020/11/02,"mangos, blackberries, pears",tea,"mouthwash, body lotion","Carter, Emily"
e33976,2020/11/08,"peaches, mandarins, strawberries, apples",tea,"conditioner, paper towel","Kayden, Andrew, Emily, Carter"
e33980,2020/11/14,"blackberries, apples, watermelons","coffee, mango juice, sports drinks","shampoo, paper towel, facial wash, body lotion",
e33985,2020/11/19,"pineapples, nectarines","guava juice, tea, chocolate milk, pineapple juice","mouthwash, paper towel, toothbrush, facial wash","Rylee, Olivia, Piper, Layla, Nevaeh, Kinsley, Lydia"
e33986,2020/11/21,"nectarines, cherres, pineapples, oranges",apple juice,"mouth wash, paper towel, mouthwash",
e33990,2020/11/30,"pears, blackberries","mineral water, guava juice, chocolate milk",paper towel,
e33995,2020/12/03,"mangos, pineapples","apple juice, mineral water, sports drinks","mouth wash, shaving cream","Avery, Benjamin, Willow"
e33996,2020/12/05,apricots,"orange juice, milk, chocolate milk",toothpaste,
e33998,2020/12/10,clementines,"milk, mineral water, tea, mango juice","toothbrush, conditioner, paper towel","Claire, Eva, Kinsley, Piper"
e33999,2020/12/15,"cherres, raspberries",tea,"mouth wash, conditioner, body lotion, paper towel",
e34001,2020/12/16,"apricots, guava, bananas","sports drinks, coffee","toilet paper, mouthwash, facial wash",
e34004,2020/12/23,strawberries,apple juice,"shaving cream, body lotion, mouthwash",
e34005,2020/12/28,"clementines, blackberries","coffee, milk",conditioner,
e37206,2021/01/03,blueberries,"tea, coffee","facial wash, shaving cream, mouth wash","Andrew, Kayden, Carter"
e37207,2021/01/04,"mandarins, guava, watermelons, mangos","apple juice, coffee, sports drinks, tea","body lotion, conditioner, mouth wash, mouthwash","Willow, Benjamin"
e37209,2021/01/12,cherres,"apple juice, mineral water, orange juice, pineapple juice","mouth wash, shampoo, paper towel, conditioner","Nora, Rylee, Kinsley, Claire, Nevaeh, Piper, Olivia, Avery, Lydia, Eva, Layla, Piper"
e37211,2021/01/21,"bananas, nectarines, apples, apricots","guava juice, coffee","body lotion, toilet paper, shaving cream",
e37214,2021/01/26,raspberries,mineral water,"toilet paper, mouthwash, facial wash","Andrew, Kayden, Emily, Carter"
e37218,2021/01/30,"nectarines, apricots","apple juice, tea, chocolate milk","conditioner, body lotion, mouthwash",
e37219,2021/02/04,"guava, mangos","soda, mango juice, apple juice","conditioner, toothbrush, body lotion",Kayden
e37222,2021/02/10,"pears, blackberries","tea, orange juice","facial wash, shampoo",
e37224,2021/02/13,raspberries,soda,"shampoo, mouthwash",
e37225,2021/02/22,bananas,"mineral water, mango juice, coffee, chocolate milk",mouth wash,
e37228,2021/03/02,"blackberries, pineapples","mango juice, milk, soda, mineral water","mouth wash, mouthwash, toothpaste","Carter, Kayden, Emily"
e37232,2021/03/05,"clementines, pineapples, pears","mango juice, soda",mouth wash,
e37233,2021/03/10,"nectarines, pears, guava","orange juice, chocolate milk, coffee","conditioner, toothpaste",Kinsley
e37237,2021/03/12,"oranges, bananas, strawberries, pineapples","soda, guava juice, orange juice","shaving cream, toothbrush, toothpaste, body lotion",
e37238,2021/03/15,"strawberries, blackberries","soda, guava juice, chocolate milk, sports drinks","mouthwash, mouth wash, toothpaste",
e37242,2021/03/21,cherres,"milk, coffee, soda",mouthwash,
e37247,2021/03/29,"clementines, nectarines, blueberries","orange juice, pineapple juice",paper towel,
e37250,2021/04/03,"clementines, bananas, apricots, strawberries",orange juice,toilet paper,"Eva, Nora, Claire"
e37251,2021/04/06,"clementines, mandarins, pears, mangos",coffee,toothbrush,"Avery, Willow, Jackson"
e37253,2021/04/10,"blackberries, guava, peaches",guava juice,"shampoo, paper towel, toothbrush",
e37254,2021/04/12,"pears, watermelons, clementines","pineapple juice, orange juice, chocolate milk","facial wash, toilet paper, body lotion",Kayden
e37258,2021/04/16,"strawberries, bananas, mandarins, pineapples","apple juice, guava juice","toilet paper, shaving cream, body lotion",
e37259,2021/04/20,"cherres, blueberries, pears","orange juice, coffee",body lotion,
e37262,2021/04/23,raspberries,apple juice,"toilet paper, paper towel, body lotion, shampoo","Andrew, Kayden, Carter"
e37263,2021/04/28,cherres,"orange juice, coffee","toilet paper, toothpaste, paper towel, body lotion",
e37266,2021/05/04,"bananas, pineapples, apples, cherres",pineapple juice,"body lotion, conditioner, paper towel, shampoo",
e37269,2021/05/09,"cherres, watermelons","coffee, pineapple juice, soda, tea","toilet paper, facial wash, mouthwash, conditioner",Emily
e37270,2021/05/10,"pears, pineapples, apricots","mineral water, orange juice, milk",toothbrush,
e37273,2021/05/17,"apricots, cherres, clementines","milk, pineapple juice",toothbrush,Lydia
e37277,2021/05/23,"apples, apricots","apple juice, orange juice","toilet paper, body lotion","Rylee, Nevaeh, Avery, Lydia"
e37278,2021/05/27,peaches,"guava juice, orange juice, apple juice","paper towel, mouth wash, shaving cream",
e37283,2021/05/29,"strawberries, raspberries, guava","mango juice, mineral water, orange juice","facial wash, shaving cream, body lotion, paper towel","Kayden, Emily, Andrew, Carter"
e37284,2021/06/02,"guava, pineapples, apricots",tea,"mouth wash, conditioner, facial wash","Andrew, Kayden, Carter, Emily"
e37288,2021/06/10,"nectarines, watermelons, bananas","sports drinks, orange juice, mineral water","facial wash, shampoo",
e37291,2021/06/13,"nectarines, pineapples, raspberries, clementines","mineral water, orange juice, tea, apple juice",body lotion,
e37292,2021/06/16,"peaches, guava","soda, apple juice, chocolate milk","shaving cream, shampoo, mouth wash","Piper, Olivia, Kinsley, Claire, Eva"
e37295,2021/06/25,cherres,"mango juice, sports drinks, apple juice, tea","shaving cream, body lotion, paper towel, conditioner","Hazel, Kinsley, Claire, Lydia, Piper, Piper, Eva, Nevaeh, Rylee, Avery, Nora"
e37296,2021/06/30,"apples, clementines, watermelons",mineral water,"shampoo, toothpaste, facial wash",
e37299,2021/07/06,"oranges, pineapples, strawberries","soda, tea, coffee, milk","body lotion, mouthwash, mouth wash, shampoo",
e37304,2021/07/09,apricots,"mineral water, chocolate milk","mouthwash, shampoo",
e37305,2021/07/14,watermelons,"tea, sports drinks","mouthwash, toothpaste","Kayden, Carter, Emily, Andrew"
e37307,2021/07/16,clementines,"tea, soda",toilet paper,
